,text,ton,keywords,names,likes,replies
0,https://www.youtube.com/watch?v=cJeCoCH020U\nДА НА КОЛ ЕГО ПОСАДИТЬ!) это соловьиное дерь*о,neutral,"['колы', 'https://www.youtube.com/watch?v=cjecoch020u\\nд']",,0.0,0.0
1,Соловьев лох,negative,"['соловьев', 'лох']",соловьев,0.0,0.0
2,Соловьиный помёт 😂,neutral,['соловьиный помёт'],,1.0,0.0
3,Народ не выбирает. Вова хватит громких слов.,neutral,"['громкие слова', 'народ']",вова,1.0,0.0
4,"Соловьев, ты лакей путиноид",negative,"['соловьев', 'путиноид']",соловьев,0.0,0.0
5,Ля сеньоро мудозвоно.... )))))),skip,['ля'],,0.0,0.0
6,"Молодец Соловьев , все по сути и правильно !",positive,"['суть', 'соловьев']",соловьев,0.0,0.0
7,"🔥🇦🇿ВЕЧЕРНИЙ МУДАЗВОН-🤣 В СВОЁМ АМПЛУА!В ЧУЖОЙ ЖОПЕ СОРИНКУ ИЩЕТ, А В СВОЁМ СКВАРЕШНИКЕ КОЛ НЕ ЗАМЕЧАЕТ. 🤭🤭🤭🇦🇿🔥",negative,"['чужой жопа', 'скварешник кол']",не,0.0,0.0
8,Вечерний мудозвон,neutral,['вечерний мудозвон'],,0.0,0.0
9,"Владимир Соловьев вам тяжело было учить текст про Навального? Вы забыли произнести его Имя, фамилию и  отчество)",neutral,"['фамилия', 'текст']",владимир соловьев,1.0,0.0
10,ПОЗОР,negative,['позор'],,0.0,0.0
11,ПУТИН ВОР! ПУТИН ВОР! ПУТИН ВОР!,negative,"['путин', 'вор']",,0.0,0.0
12,ПУТИНОИД,neutral,['путиноид'],,0.0,0.0
13,КОГДА НУЖНА ПРАВДА -ОН ПРАВДИВЕЕ ВСЕХ!,neutral,[],,0.0,0.0
14,"Мерзкий человечек. Однажды его так бомбанёт от злобы, что он просто взорвётся в прямом эфире забрызгав всех вокруг соловьиным помётом. Личный дизлайк от меня",negative,"['соловьиный помёт', 'прямой эфир']",,0.0,0.0
15,"Две собаки из одного вольера,лай разный а суть одна!",neutral,['две собаки'],,0.0,0.0
16,Мудазвон,neutral,['мудазвон'],,0.0,0.0
17,Пиздёшь,neutral,[],,0.0,0.0
18,А что он в России делает? Он же итальянец.,neutral,"['россия', 'итальянец']",,0.0,0.0
19,Синьёр соловьев с маленькой буквы,neutral,"['маленькая буквы', 'соловьев']",,0.0,0.0
20,"Соловьев!!! YouTube - это вам не  зомбо-ящик который только старики ещё иногда смотрят , тут пи*дабольство такого типа , пресекается сразу ! И покажет он ещё все ваше грязные делишки, и откроет глаза. народу нашему,слепому и каждому тупому докажет что он зря  вам верил!!!",negative,"['все ваше грязные делишки', 'такое тип']",соловьев,0.0,0.0
21,Не поддерживает мнение соловья народ - это прекрасно видно по лайкам (дизлайкам),neutral,"['мнение соловья', 'народ']",,1.0,0.0
22,Вечерний мудозвон,neutral,['вечерний мудозвон'],,4.0,0.0
23,просто М.,neutral,['м'],,1.0,0.0
24,"В безопасности они себя чувствуют и только по этому языками ""смело"" чешут, но будьте уверены как только слегка жаренным запахнет, только их и видели и след простынет.",neutral,"['языки', 'след']",,2.0,0.0
