,text,ton,keywords,names,likes,replies
0,Соловьева лечить надо,neutral,['соловьев'],соловьев,0.0,0.0
1,"отбитые школьники набежали .зачем?\nчтобы выразить свое негодование,связанное с тем,что они не умеют думать...\nв этой передаче нужно анализировать,а не тупо верить на слово(как вы обычно делаете).\nнаучитесь критически мыслить,чтобы не быть баранами с помощью которых разные силы, хотят раскачать ситуацию в стране.",negative,"['разные сила', 'отбитые школьники']",,0.0,0.0
2,как всегда вакаров хорек скольский,neutral,"['хорёк', 'вакары']",,0.0,0.0
3,Ша! Ковтун речь держать будет!,neutral,"['речь', 'ковтун']",,0.0,0.0
4,Соловьиный помет,neutral,['соловьиный пометы'],,0.0,0.0
5,не смотрел это полгод. данный выпуск пролистал за пять минут. с радостью констатирую: в стране стабильность. по крайней мере на передаче володи виницкого ниxepa не меняется,neutral,"['передача володи виницкого', 'пять минут']",,0.0,0.0
6,Молодец Соловьёв. Сила в правде!!,positive,"['молодец соловьёв', 'сила']",,0.0,0.0
7,Почем дизлайк??,neutral,['дизлайк'],,0.0,0.0
8,Читай,neutral,[],,0.0,0.0
9,Да пидр ты. Продался давно. Чушь говоришь,negative,"['чушь', 'пидры']",,0.0,0.0
10,Мерзкие паразиты,negative,['мерзкие паразиты'],,1.0,0.0
11,Мерзавец Путин: https://www.youtube.com/watch?v=tXSm2P2xZeg,neutral,"['путин', 'мерзавец']",путин,0.0,0.0
12,Кто-то еще смотрит юдосвиней?,neutral,[],,0.0,0.0
13,Как боты с дизлайками налетели. А просмотров уже   почти 300.000 Ботский налет))),neutral,"['300.000 ботский', 'просмотры']",,1.0,0.0
14,"""У нас сегодня большая программа мы поговорим об Украине Америке"" НО О РОССИИ—нет, ведь мы это соловьиный ***",neutral,"['большая программа', 'украина']",,0.0,0.0
15,Вот вам делать больше нечего только как Украину обсуждать.Свою власть обсуждайте!,neutral,"['украина', 'власть']",,0.0,0.0
16,Ежедневный Вечер когда начнётся? а то скукаТень а это я уже сразу видел по Р24 )) Всё вместе тут будет больше миллиона просмотров ),neutral,"['миллион просмотров', 'ежедневный вечер']",,0.0,0.0
17,"Сколько же долбоебов навальнутых в комментариях... Страшно жить становится с такой молодежью. Жертвы ЕГЭ самое мягкое описание, скорее просто долбоебы",negative,"['самое мягкое описание', 'такая молодёжь']",,0.0,0.0
18,"Навальнята-майданщики набежали, дизов наставили. Смешные.. думают им это поможет..",negative,"['навальнята-майданщики', 'имя']",,0.0,0.0
19,"Ого, а что это дизлайков так много? Или это ""оппозиция"" возбудилась? В таком случае что-то мало совсем. Это и все ""оппозиционеры""? Вы бы хоть ботов завели, что-ли. Или уже?.. Мда, печальная история.",negative,"['такой случай', 'печальная история']",,0.0,0.0
20,Мерский ты Соловей,neutral,"['соловей', 'мерский']",,1.0,0.0
21,"Сценарий для майданутых их ""вожаки"" 100% киевский майдан копируют - начиная с подтанцовки сосунков под режисурой спецобученных по отношению к омону ( в Киеве это были студенты киево-могилёвской )...ну а дальше смотрите что они творили в Киеве и по всей Украины ,начиная с 30 ноября 2013 года ...",neutral,"['киев', 'подтанцовка сосунков']",,0.0,0.0
22,"РОССИЯНЕ, ДОНБАСС САМ ВОССТАНОВИТЬСЯ  МЫ НЕ ЧЕГО  У ВАС НЕ ПРОСИМ, ДА СПАСИБО ЗА ПОМОЩЬ НА ДАНОМ  МОМЕНТЕ ,МЫ ВСЕ ВЕРНЕМ, НЕ СЛУШАЙТЕ ЛЕБЕРАЛОВ ОНИ СУКИ,  НАМ НАДО ЧТО БЫ  НАС НЕ БОМБИЛИ , ВСЕ, АТО МЫ САМИИ",negative,"['сука', 'самия']",,0.0,0.0
23,"ВЛАДИМИР , ИМЯ КОНЕЦ  МИР, ЭТО РАДУЕТ НАС ЛУГАНСК, СМОТРИМ ВАС , СПАСИБО ВАМ, ХОТЕЛОСЬ ,ЧТО БЫ ВЫ БОЛЬШЕ ПРИГЛАШАЛИ   С ЛНР И ДНР , ДОСТАЛИ ЛЫСЫЕ, ТРЮФЕЛИ , КОРОЧЕ СКОТЫ, ПОРА РАССКАЗЫВАТЬ БОЛЬШЕ, ПРО НАС ЛНР И ДНР,МЫ НЕ УКРАИНА, НЕ КОГДА МЫ НЕ ПРОСТИМ , ТО  ЧТО ОНИ  НАТВОРИЛИ, МЫ НЕ ОДЕССА, ЛЮДИ ЗДЕСЬ ДРУГИЕ, МЫ ВСЕ СДОХНЕМ ,   НО  ЯЗЫК, ИСТОРИЮ И Т,Д, НЕ ОТДАДИМ, СУКИ , И  ТРУСЫ  ОТ ХАРЬКОВА ДО  ЛЬВОВА,,",negative,"['язык', 'харьков']",,1.0,0.0
