,text,ton,keywords,names,likes,replies
0,Клоун путинский! Маразм крепчает! Пора ему поехать к индийскому океану сапоги помыть! Заодно и во рту прополоснуть!,negative,"['индийский океан', 'сапоги']",,0.0,0.0
1,Соловьев первый в Америку убежит. В мире нет бойца смелей чем напуганный еврей.,neutral,"['напуганный еврей', 'соловьев']",соловьев,0.0,0.0
2,дурак!,negative,['дурак'],,0.0,0.0
3,"Где вы получили образование,в каком государстве и бесплатно",neutral,['какой государство'],,0.0,0.0
4,Больной человек...,neutral,['больная человек'],,0.0,0.0
5,"Болтун жириновский, одно слово либерал, и всё понятно, главный клоун.",negative,"['одно слово', 'главный клоун']",,0.0,0.0
6,предлагаю.\nПЕРВЫЙ ТОСТ .\nЗА ЗДОРОВЬЕ ПРЕЗИДЕНТА.,neutral,"['предлагаю.\\nпервый тост', 'здоровье президента']",,1.0,0.0
7,"Иван Орыс\r\n2 месяца назад\r\nЖириновский, Кедми и Соловьиный Помёт учат Ивановых и Петровых кто им друг, а кто враг. Лучшая юмористическая передача.",neutral,"['наихорошая юмористическая передача', 'соловьиный помёт']",петров,0.0,0.0
8,НАМ НИНАДО НИКУДА ИДТИ.\nНАДО СЛОТИТЬСЯ.ВЕРНУТЬ ВСЕ СОЮЗНЫЕ РЕСПУБЛИКИ.И ПОВЕРЬТЕ ОНИ ЗАМОЛЧАТ.И СИЛЬНОЕ ПРАВИТЕЛЬСТВО.,neutral,"['все союзные республики.ь', 'сильное правительство']",,0.0,0.0
9,"Умница Жириновский, он просто  пророк , страшно но правда , нельзя прятать голову в песок, подобно страусам .",positive,"['умница', 'страусы']",жириновский,4.0,0.0
10,Если вам ненужна сельского хозяйства то тогда отдайтеземлю китайцам. ЖИРИК ТЫ ДУРАК!😈 Главный враг России это ты Жирик и твой ЛДПР!👹👺👽👾👿💀\nСЛАВА СССР! СЛАВА СТАЛИНА!💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪,negative,"['жирики', 'твой лдпр!👹👺👽👾👿💀\\nслав ссср']",жирика,0.0,0.0
11,Ох трелеобразный ты не наш соловейко тикать тебе  в теплые страны в недалёком будующем.,negative,"['тёплые страна', 'наш соловейко']",,1.0,0.0
12,Проговорил полный БРЕД!!!,negative,['полный бред'],,0.0,1.0
13,СКОКА ТЕБЕ ГОДКОВ ЧУЧЕЛО.,negative,"['чучело', 'скок']",,0.0,0.0
14,"Страна огромная богатая,а народ в нищете\nХуже всего умудрились включить материнский капитал,чтобы наши бабы нарожали кучка черных,а не русских-славян.Полное отстой народ в России",negative,"['народ', 'русских-славян.полное отстой']",,0.0,0.0
15,"Вся российская  политика ю,идеология и пропаганда подпадает под определение фашизма.\nЖириновский мечтал о ""броске на юг"",и умытии солдатского сапога в Индийском океане,но после позорного проигрыша войны их армии в Чечне в 1994-м в 1996-м годах оставил эту мечту.\nТеперь Путин пошел на преступный изначально обречённый имперский реванш на постсоветском пространстве,но убедившись в провале в истерике опустился на угрозы с применением ядерного оружия, отправив россиян в земной ад внушая им рай на тосюм свете.\nВ дущах русских сидит фашистская ненависть ко всем свободолюбивым народам, эта ненависть направляется то на Прибалтийские народы, то на Чеченцев, то на Молдаван, то на Грузин, и особенно на ""братьев славян"" Украинцев.",negative,"['позорное проигрыш войны', 'обречённый имперский реванш']",путин,0.0,0.0
16,Человек который не за что не отвечает ! Судите сами,neutral,['человек'],,1.0,1.0
17,НО НА ПОЛИТИКУ ВЛИЯЕТ.\nТОЛЬКО ВЫ ЭТО НЕ ПОНИМАЕТЕ.,neutral,['политика'],не,0.0,0.0
18,"Соловьёв:""Куда нам идти-в семёрку?""\nОтвет:"" Вам лучше будет шестым....""",neutral,"['семёрку?""\\nответ']",,0.0,0.0
19,"Жириновский - живой Райкин для всех понимащих русского языка. И грех, и смех, одним словом. Коммунизм как идеология вечен по сравнению с Вольфовичем....",negative,"['все понимащие русский язык', 'одни слово']",райкин,0.0,0.0
20,"Что соловьев, что жирик, гниды.",negative,"['соловьев', 'жирики']",,1.0,0.0
21,Ещё один муд звон,neutral,['звон'],,0.0,1.0
22,А ДРУГОЙ ВЫ?,neutral,[],,0.0,0.0
23,В  ЭТОЙ  СТУДИИ  ВСЕ  ИДОЛЫ,neutral,"['все идолы', 'студия']",,0.0,0.0
24,у меня такое впечатление что два дрыща бьются на ринге. а все остальные ржут .,negative,"['такое впечатление', 'ринг']",,0.0,0.0
25,Скоморох!!!!!!!,neutral,['скоморох'],,0.0,1.0
26,ОПРЕДЕЛИСЬ УЖЕ,neutral,[],,0.0,0.0
27,Ебаные Твари!!!!!!!!!!,negative,['ебаные твари'],,0.0,1.0
28,ОПРЕДЕЛИСЬ УЖЕ.,neutral,[],,0.0,0.0
29,Жирик прав надо наказать  Америку  с ядерными бомбами или ракетами с ядерным боеголовками.,negative,"['ядерные бомбы', 'ядерные боеголовки']",,0.0,1.0
30,"ОБЯЗАТЕЛЬНО НАКАЖЕМ,НО ПОТОМ.",neutral,[],,0.0,0.0
31,"""Советы без коммунистов"" Фальшивый лозунг всех антисоветчиков! Только коммунисты сделали СССР великим. Жирик - провокатор и грязная марионетка антинародного режима.",negative,"['коммунисты', 'фальшивый лозунг']",,0.0,0.0
32,"Если Жирик правильно на 100% нарисовал будущее  Украины ещё в 2008 году, то ему есть основание верить. Он историк-аналитик.",neutral,"['будущее украины', '2008 году']",жирика,0.0,0.0
33,"Да что вы слушаете его,Жириновский, Зюганов чем лучше других,вечные вожаки которые не о народе думает ,а думает как бы ещё нахапат и кресло не потерять!!!......",negative,"['других,вечные вожаки', 'нахапат']",зюганов,0.0,0.0
34,Клоун кремлёвский.,neutral,['клоун'],,1.0,0.0
35,Цирк,neutral,['цирк'],,0.0,0.0
36,Шико Путина пиздобол,negative,"['путин', 'пиздобол']",шико путин,0.0,0.0
37,"Коррупция от Сада Гигант.Почитайте на Гугле отзывы о Саде Гегант.Это Краснодаский край.Украинцы должны выполнять были 1,5 нормы.А вечером от начальника охраны до управляющих тырили эти пол нормы ними собранные .пол нормы.Это каждую ночь на протяжении всего полтора месяца уборки. Легковая машина с прицепом ночная норма.А если поймал зам  начальника.охраны.Так они ночью приехали еще с одним руководителем и пистолетом  Макарова тыкали на посту охраннику в голову украинцу в.,,Ты приехал деньги зарабатывать или на Кубани  с кражами бороться?,,.Паспорта забирали на период работы.Многих за выпивку вывозили на переправу порт Кавказ а деньги ложили в карман.Жириновский о коррупции на Кубанини  правду.Я рассказываю за 2003 год и побывав там украинец больше кроме бомжей и беглых приступников,второй раз туда никуда не ехал.А в Украинском лагере полицейский самогон свой продавал.А если кто перепьет из украинецев он же и вывозил его на паром.Обычно украинцы после сада Гигант ехали на работу в Польшу.Там на третьем отделение в селе с.Содовое много \n хороших местных людей как и визде в России.А руководство твари.И на переправе порт Кавказ пост миллицейский стоит.Даже если с хозяйства есть документ.То всех перечисленных ними бумажек нет и нужно платить от 200 до 500 рублей или вызовут машину и в отделе все забирут.А одного так возмущавшегося побили ,что на украинской стороне его забрала скорая.Перечислять все мерзости можно безконца.Жириновский прав!.Кубань лечить нужно.Кто с украинцев там работал больше хорошо о Саде не отзывался.А мерзости и гатости там творящиеся многие украинцы потом экранировали на все связанное с Россией.Вот такая правда.",negative,"['сад', 'украинцы']",жириновский,0.0,0.0
38,"Жаль Жириновского нельзя заставить работать, старый. А то бы на лесоповал.",negative,"['лесоповал', 'жириновский']",жириновский,3.0,0.0
39,"Не нужны нам цари, Жириновский.",neutral,"['цари', 'жириновский']",жириновский,2.0,1.0
40,ТАК ВАМ НИ КТО НЕ НУЖЕН.,neutral,[],,0.0,0.0
41,И так по мелочи кое-что поотрывает.,neutral,['мелочь'],,2.0,0.0
42,"Надо же, нечаянно на этого соловьева-Шапиро наткнулась. Тьфу-тьфу.",negative,['соловьевы-шапиро'],шапиро,1.0,0.0
43,Супер политик,positive,['супер политик'],,0.0,0.0
44,"Соловей толкает Россию в Китай -туда же похерив америку намерены переселиться еврейские финансисты США.. Путин уже сдает Сибирь ,выполняет заказ ротшильдов",neutral,"['еврейские финансисты сша', 'заказ ротшильдов']",путин,0.0,0.0
