"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"Ugy13m7CPNs5ATDWv8J4AaABAg","Елена Жаркова","/channel/UCopHthF1eJJ-Qz8602r9VIw","https://yt3.ggpht.com/a/AGF-l7-Z73KQy3zAefirwue-vVtB3bh7S2wPQGuzLw=s48-c-k-c0xffffffff-no-rj-mo","Клоун путинский! Маразм крепчает! Пора ему поехать к индийскому океану сапоги помыть! Заодно и во рту прополоснуть!",0,"3 hours ago",1574497466043,false,false,,,,,,,,,,,
"UgxleDuNb2HikwfDdTt4AaABAg","Владимир Белов","/channel/UCrDx8zs791fjODb3J6VGgNw","https://yt3.ggpht.com/a/AGF-l7983yGOTuzSqQz_8udXhJFK0yNiZdEjC92w5A=s48-c-k-c0xffffffff-no-rj-mo","Соловьев первый в Америку убежит. В мире нет бойца смелей чем напуганный еврей.",0,"14 hours ago",1574457866047,false,false,,,,,,,,,,,
"UgykILIuP-ofqY2KcNR4AaABAg","Игорь Быков","/channel/UCLsY5-IQE_qGV5C_zpL4cQw","https://yt3.ggpht.com/a/AGF-l7-VEuisqoccE62x2MJ2WwItegOcbEoDsqzGpw=s48-c-k-c0xffffffff-no-rj-mo","дурак!",0,"15 hours ago",1574454266050,false,false,,,,,,,,,,,
"UgwbQSNfmbRmKhfHw2F4AaABAg","Рая Рая","/channel/UCAAo0cr7dnNBTlivfI5Vkqg","https://yt3.ggpht.com/a/AGF-l78_oxiLzO4R39SAPUJ5SLdFzBFCX_trvvMqwg=s48-c-k-c0xffffffff-no-rj-mo","Где вы получили образование,в каком государстве и бесплатно",0,"18 hours ago",1574443466052,false,false,,,,,,,,,,,
"Ugyy8c75asGrluC7CyZ4AaABAg","саша шелудченко","/channel/UCSYcUgpF1C5GLdnMofRVnLw","https://yt3.ggpht.com/a/AGF-l78Qnv-GYr8z_jApfSVZQqi3U-Trw1t5tsSflg=s48-c-k-c0xffffffff-no-rj-mo","Больной человек...",0,"1 day ago",1574421866054,false,false,,,,,,,,,,,
"Ugz8UMeAfq9XK0AZMnZ4AaABAg","Александр Муллин","/channel/UCG3BYlcl8uJwEcPVMaWq9ZA","https://yt3.ggpht.com/a/AGF-l794m2rPiLIdBZQzrfwxzQXPOUe-CFJLuRhz1A=s48-c-k-c0xffffffff-no-rj-mo","Болтун жириновский, одно слово либерал, и всё понятно, главный клоун.",0,"1 day ago",1574421866058,false,false,,,,,,,,,,,
"Ugy3ubye5rosGWYmfRF4AaABAg","Евгений Логвиненко","/channel/UCMja1MwDEkMVBvnq2vDsgWw","https://yt3.ggpht.com/a/AGF-l7-uSAZUUgBujSEQ-pdDPbgnZPXsy_B3u2LuBg=s48-c-k-c0xffffffff-no-rj-mo","предлагаю.\nПЕРВЫЙ ТОСТ .\nЗА ЗДОРОВЬЕ ПРЕЗИДЕНТА.",1,"2 days ago",1574335466060,false,false,,,,,,,,,,,
"UgwXn5a1oSfxLEmrOzZ4AaABAg","зоя прогнимак","/channel/UCu50oUotnOJ8oyFFMEg9-Vw","https://yt3.ggpht.com/a/AGF-l7-2G3bMuhpYotg8aRyLRXfariECLSoobyjHCA=s48-c-k-c0xffffffff-no-rj-mo","Иван Орыс\r\n2 месяца назад\r\nЖириновский, Кедми и Соловьиный Помёт учат Ивановых и Петровых кто им друг, а кто враг. Лучшая юмористическая передача.",0,"2 days ago",1574335466062,false,false,,,,,,,,,,,
"UgxdS-SfG-GAgE8ipnt4AaABAg","Юра Никитин","/channel/UCdJGdiGeFD3qu1aqe0l-6zw","https://yt3.ggpht.com/a/AGF-l7_20djfxfbbsjo4pJ3USHhzn6zbt8k1ZDrJWw=s48-c-k-c0xffffffff-no-rj-mo","НАМ НИНАДО НИКУДА ИДТИ.\nНАДО СЛОТИТЬСЯ.ВЕРНУТЬ ВСЕ СОЮЗНЫЕ РЕСПУБЛИКИ.И ПОВЕРЬТЕ ОНИ ЗАМОЛЧАТ.И СИЛЬНОЕ ПРАВИТЕЛЬСТВО.",0,"3 days ago",1574249066064,false,false,,,,,,,,,,,
"Ugyw0Ji0-niHx9-JHjh4AaABAg","Алла Маренич","/channel/UCbWcV5esb-Rp94eN75kgVNA","https://yt3.ggpht.com/a/AGF-l7_XQSOJ2oBA9UKOabeIzyMF2bG6TgRV6Izz6Q=s48-c-k-c0xffffffff-no-rj-mo","Умница Жириновский, он просто  пророк , страшно но правда , нельзя прятать голову в песок, подобно страусам .",4,"3 days ago",1574249066066,false,false,,,,,,,,,,,
"Ugwj3voFR2LIpNYzjH94AaABAg","Тангри-Таг","/channel/UC9nifpPLdWX09yokdH9Vw6Q","https://yt3.ggpht.com/a/AGF-l7-2SgclbOv_vC4Tlpgj54IvoPmysyspHj1Brw=s48-c-k-c0xffffffff-no-rj-mo","Если вам ненужна сельского хозяйства то тогда отдайтеземлю китайцам. ЖИРИК ТЫ ДУРАК!😈 Главный враг России это ты Жирик и твой ЛДПР!👹👺👽👾👿💀\nСЛАВА СССР! СЛАВА СТАЛИНА!💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪",0,"3 days ago",1574249066068,true,false,,,,,,,,,,,
"UgyrFEvT9r2eJ5TqqJZ4AaABAg","александр маркеев","/channel/UC2oVgT06WbU6fQyxL998wtw","https://yt3.ggpht.com/a/AGF-l7_Le2KWp84wQGOccKa-_CNHtkxRfGBvlXgb4w=s48-c-k-c0xffffffff-no-rj-mo","Ох трелеобразный ты не наш соловейко тикать тебе  в теплые страны в недалёком будующем.",1,"3 days ago",1574249066070,false,false,,,,,,,,,,,
"UgxZb6h_FsxqY-ZoGcl4AaABAg","Сергей","/channel/UCg9IPo9e_nwz3z__UDC8o0g","https://yt3.ggpht.com/a/AGF-l7-7LxzF_v4huPGlkTEblyyuH6df2_u5SiBU-g=s48-c-k-c0xffffffff-no-rj-mo","Проговорил полный БРЕД!!!",0,"3 days ago",1574249066073,false,true,"EkQSC09tZ2p0QTFFVWNJwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd4WmI2aF9Gc3hxWS1ab0djbDRBYUFCQWciAggAKhhVQ1BrRHZhS1Y2dTZGZ002NTBBMHBkQ0EyC09tZ2p0QTFFVWNJQAFICg%3D%3D",1,,,,,,,,,
,,,,,,,,,,,,"UgxZb6h_FsxqY-ZoGcl4AaABAg.91WvLtrrxjJ91_HLP7ju4O","Евгений Логвиненко","/channel/UCMja1MwDEkMVBvnq2vDsgWw","https://yt3.ggpht.com/a/AGF-l7-uSAZUUgBujSEQ-pdDPbgnZPXsy_B3u2LuBg=s32-c-k-c0xffffffff-no-rj-mo","СКОКА ТЕБЕ ГОДКОВ ЧУЧЕЛО.",0,"2 days ago",1574335466381,false
"UgyMhRR35-UabnAnNOJ4AaABAg","Алексей Ломакин","/channel/UCAD1UeaqIhwHtyZx1oIX6aA","https://yt3.ggpht.com/a/AGF-l7_3InuOVUSJfXvvBm2D8ASsdk5yj6PBupm87Q=s48-c-k-c0xffffffff-no-rj-mo","Страна огромная богатая,а народ в нищете\nХуже всего умудрились включить материнский капитал,чтобы наши бабы нарожали кучка черных,а не русских-славян.Полное отстой народ в России",0,"4 days ago",1574162666079,false,false,,,,,,,,,,,
